# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
#
# Results of Query: Database UKIDSSDR8PLUS 12/01/15 19:26
# SELECT  sourceID, framesetID, RA, Dec, mergedClass, priOrSec, 
# JAperMag3, JAperMag3Err, HAperMag3, HAperMag3Err, K_1AperMag3, 
# K_1AperMag3Err, K_2AperMag3, K_2AperMag3Err, H2AperMag3, 
# H2AperMag3Err, pstar, epoch,
# 2*DEGREES(ASIN(sqrt(power(0.22206278975386445-cx,
# 2)+power(-0.9743835349298852-cy,2)+power(-0.035564649081248456-cz,
# 2))/2))*60 as distance  FROM gpsSource WHERE dec > -2.054800766666667 
# and dec < -2.0214674333333336 and RA >= 282.8218026096076 and RA <= 
# 282.85515739039243 and ((cx * 0.22206278975386445 + cy * 
# -0.9743835349298852 + cz * -0.035564649081248456 ) >= 
# 0.9999999576920253)  and (pStar > 0.99) and (priOrSec=0 OR 
# priOrSec=frameSetID) and HAperMag3 >0 and JAperMag3 > 0 and 
# K_1AperMag3 > 0
# Column Headers at start of file AND below
#
# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
        438267690404,        438086674173,    +282.8449694,      -2.0416555,    -1,                   0,    +17.872967,     +0.036144,    +16.762854,     +0.027859,    +16.133993,     +0.040190, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.4427759
        438267690133,        438086674173,    +282.8460531,      -2.0323397,    -1,                   0,    +18.458069,     +0.060444,    +17.143736,     +0.039207,    +16.616606,     +0.062275, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5719082
        438267690063,        438086674173,    +282.8462119,      -2.0342805,    -1,                   0,    +19.628668,     +0.173544,    +18.388573,     +0.121919,    +17.599457,     +0.153208, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5180782
        438267689962,        438086674173,    +282.8475853,      -2.0477390,    -1,                   0,    +15.077094,     +0.004267,    +14.340032,     +0.003597,    +14.002001,     +0.006098, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7938493
        438267689928,        438086674173,    +282.8473542,      -2.0508100,    -1,                   0,    +15.429661,     +0.005362,    +13.500080,     +0.001968,    +12.557026,     +0.001952, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9282204
        438267689817,        438086674173,    +282.8483745,      -2.0305703,    -1,                   0,    +18.751442,     +0.078505,    +17.436758,     +0.051066,    +16.786879,     +0.072724, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7469656
        438267689557,        438086674173,    +282.8486485,      -2.0485904,    -1,                   0,    +18.246418,     +0.050084,    +17.088793,     +0.037322,    +16.806995,     +0.074245, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8748491
        438267689164,        438086674173,    +282.8505392,      -2.0357333,    -1,                   0,    +17.518215,     +0.026645,    +16.416996,     +0.020431,    +15.850410,     +0.031053, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7373043
        438267689125,        438086674173,    +282.8506034,      -2.0341396,    -1,                   0,    +18.264105,     +0.050895,    +16.898577,     +0.031410,    +16.265707,     +0.045246, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7654365
        438267688789,        438086674173,    +282.8519790,      -2.0364382,    -1,                   0,    +18.721518,     +0.076462,    +17.051086,     +0.036037,    +16.424343,     +0.052311, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8157986
        438267690224,        438086674173,    +282.8481345,      -2.0288722,    -1,                   0,    +16.256432,     +0.009634,    +14.635181,     +0.004515,    +13.891197,     +0.005544, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8024675
        438267689767,        438086674173,    +282.8476523,      -2.0467477,    -1,                   0,    +19.813635,     +0.205288,    +18.500452,     +0.135005,    +18.037052,     +0.229285, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7547109
        438267690535,        438086674173,    +282.8468148,      -2.0348317,    -1,                   0,    +18.783794,     +0.080837,    +17.152660,     +0.039537,    +16.571907,     +0.059809, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5376157
        438267690031,        438086674173,    +282.8464554,      -2.0331007,    -1,                   0,    +19.043371,     +0.102193,    +17.764677,     +0.068942,    +17.282915,     +0.114631, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5656011
        438267690503,        438086674173,    +282.8444158,      -2.0314233,    -1,                   0,    +18.517538,     +0.063719,    +16.947273,     +0.032834,    +16.277386,     +0.045696, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5374089
        438267690592,        438086674173,    +282.8440237,      -2.0265682,    -1,                   0,    +19.203175,     +0.117885,    +17.381706,     +0.048654,    +16.658499,     +0.064640, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7694595
        438267690800,        438086674173,    +282.8438843,      -2.0230829,    -1,                   0,    +18.459976,     +0.060308,    +17.401234,     +0.049304,    +17.010233,     +0.089043, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9594506
        438267694548,        438086674173,    +282.8274199,      -2.0326042,    -1,                   0,    +18.751820,     +0.078276,    +17.734219,     +0.066978,    +17.448770,     +0.133072, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7415541
        438267695277,        438086674173,    +282.8239489,      -2.0322234,    -1,                   0,    +19.615100,     +0.170687,    +17.893332,     +0.077470,    +17.329657,     +0.119245, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.9407220
        438267689449,        438086674173,    +282.8491089,      -2.0333593,    -1,                   0,    +17.557743,     +0.027559,    +16.656970,     +0.025312,    +16.342215,     +0.048503, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.992684,   +2005.4566113,      +0.6987616
        438267689406,        438086674173,    +282.8490457,      -2.0291030,    -1,                   0,    +20.022182,     +0.248150,    +18.213419,     +0.103593,    +17.394056,     +0.126778, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8336648
        438267691638,        438086674173,    +282.8398048,      -2.0472195,    -1,                   0,    +17.220503,     +0.020796,    +15.710889,     +0.011087,    +14.922111,     +0.013568, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5508840
